scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18
0.3048306,0.24800931,0.69918907,0.3530463,0.32668048,0.38977635,0.27425253,0.33805197,0.5194894,0.3421442,0.25725767,0.3862092,0.30197883,0.39046898,0.37286603,0.27889258,0.28946397,0.3665413
0.26460212,0.23753889,0.46139222,0.27317104,0.2799526,0.2861406,0.23823678,0.30912447,0.3323878,0.25057626,0.27431554,0.24316141,0.22043805,0.34562036,0.28583536,0.2510315,0.27541453,0.26034755
0.34049422,0.3372899,0.61968875,0.35923457,0.35429454,0.36264274,0.3484231,0.39318568,0.43630114,0.34233943,0.33138373,0.2919728,0.31722224,0.39656126,0.34755635,0.29611817,0.30153584,0.34314448
0.2964489,0.24153548,0.65612185,0.34909186,0.30684793,0.32161862,0.28381473,0.32950258,0.46800774,0.3098918,0.25727773,0.31475648,0.26226884,0.36094746,0.29366374,0.26614666,0.30515307,0.31614453
0.23568353,0.16722223,0.48430035,0.24835642,0.23490362,0.37992868,0.1944031,0.22551544,0.54511636,0.26422775,0.16366555,0.39249134,0.19129072,0.36871505,0.35617888,0.17360443,0.24548607,0.28031912
0.27129048,0.2317404,0.6772092,0.3236093,0.28425577,0.34821826,0.24376044,0.29216126,0.5066391,0.30873936,0.20725337,0.29336938,0.23550647,0.30579138,0.2851988,0.19739288,0.2426453,0.31612784
0.20140557,0.20636761,0.44802517,0.19526227,0.22216356,0.29498056,0.18618755,0.22323737,0.34535417,0.20066963,0.23606463,0.23590255,0.18190083,0.3216908,0.27708018,0.19860812,0.18904404,0.20429382
0.25635916,0.21040376,0.43392605,0.25774336,0.30549985,0.25056562,0.2095845,0.30984798,0.29651093,0.22264817,0.2193067,0.27225775,0.24129696,0.2108584,0.23798881,0.21987757,0.2143913,0.25182143
0.24917556,0.20907092,0.7052871,0.31353137,0.2877708,0.3354271,0.25296545,0.3119854,0.44378078,0.2924157,0.24231869,0.26193783,0.24069613,0.36426538,0.31690124,0.2048316,0.25519532,0.30677974
0.36046112,0.35286102,0.71915597,0.4185664,0.41467234,0.45361212,0.32823378,0.41883948,0.6069045,0.38086542,0.3398613,0.475123,0.343655,0.49271268,0.4268788,0.32994008,0.35422218,0.4477427
0.39405078,0.3183567,0.4496926,0.4006104,0.34386814,0.54371774,0.3853525,0.37551016,0.6583688,0.39795572,0.32807827,0.61334616,0.3578061,0.5785845,0.5881879,0.31524503,0.31902182,0.36753806
0.37190175,0.34100384,0.40750435,0.40375644,0.34057164,0.5182631,0.39730287,0.36587012,0.58866656,0.4021965,0.32223603,0.5575694,0.34185243,0.5084223,0.5402148,0.3140077,0.33891636,0.34908757
0.24077456,0.201876,0.48955935,0.22917908,0.23271333,0.2790766,0.20067897,0.23234287,0.33478138,0.2530706,0.19909236,0.27434573,0.20763458,0.25281343,0.23866372,0.21650241,0.22725542,0.27572653
0.43543252,0.3171019,0.53379095,0.4228968,0.359066,0.55140007,0.4042566,0.39285284,0.66115904,0.4154566,0.32901067,0.63728887,0.35436857,0.58938915,0.58454883,0.2927379,0.34706628,0.3778481
0.2526379,0.1969671,0.5445418,0.27861187,0.27869013,0.30766317,0.22968514,0.2886211,0.4471532,0.2518777,0.22396992,0.28107017,0.23421676,0.33620927,0.29219738,0.21282218,0.2658723,0.2955878
0.32789272,0.30798173,0.3917918,0.3452407,0.3231253,0.48838088,0.39214832,0.34140775,0.6015657,0.35322708,0.30467454,0.5505611,0.31600386,0.5167935,0.54585,0.2945205,0.30839455,0.32588005
0.30615458,0.22933072,0.7537771,0.34333968,0.29904914,0.33299047,0.27190903,0.33033505,0.44890994,0.33291185,0.28789064,0.27636176,0.2584926,0.44009286,0.32181454,0.2685537,0.2905909,0.30768505
